Addresses,Price,Price Type,Rent Estimate,Property Type,Number of Bedrooms,Number of Bathrooms,Square Feet,YTD,Address Link
"Lovage Ln, Jacksonville, FL 32219",N/A,N/A,N/A,Single-Family,4,2,2358,N/A,https://www.foreclosure.com/address/Lovage-Ln-Jacksonville-FL-32219/60565615_lid
"Ne 14th Ave Apt 411, Miami, FL 33179","$112,285",Estimated Market Value,$1420/m,Condo,2,2,1160, 102%,https://www.foreclosure.com/address/Ne-14th-Ave-Apt-411-Miami-FL-33179/60565675_lid
"E 10th St, Saint Cloud, FL 34769","$347,311",Estimated Market Value,$1320/m,Single-Family,3,2,1200, 113%,https://www.foreclosure.com/address/E-10th-St-Saint-Cloud-FL-34769/60565681_lid
"Southern Vista Loop, Saint Cloud, FL 34772",N/A,N/A,N/A,Land,N/A,N/A,0,N/A,https://www.foreclosure.com/address/Southern-Vista-Loop-Saint-Cloud-FL-34772/60565721_lid
"Grand Cypress Cir, Lake Worth, FL 33463","$482,427",Estimated Market Value,$1950/m,Single-Family,3,2,1860, 99%,https://www.foreclosure.com/address/Grand-Cypress-Cir-Lake-Worth-FL-33463/60565727_lid
"Rush Bay Way, Orlando, FL 32824",N/A,N/A,N/A,Single-Family,3,2,1801,N/A,https://www.foreclosure.com/address/Rush-Bay-Way-Orlando-FL-32824/60565736_lid
"Huntington Ln Apt 106, Delray Beach, FL 33446","$158,102",Estimated Market Value,$1160/m,Condo,2,2,990, 112%,https://www.foreclosure.com/address/Huntington-Ln-Apt-106-Delray-Beach-FL-33446/60565734_lid
"Nw 7th St Apt 622, Miami, FL 33126","$252,742",Estimated Market Value,$1400/m,Condo,1,1,624, 132%,https://www.foreclosure.com/address/Nw-7th-St-Apt-622-Miami-FL-33126/60565765_lid
"Mascot St Ne, Palm Bay, FL 32905","$291,844",Estimated Market Value,$1131/m,Single-Family,3,2,1638, 99%,https://www.foreclosure.com/address/Mascot-St-Ne-Palm-Bay-FL-32905/60565772_lid
"Nw 104th Ave, Coral Springs, FL 33071","$811,602",Estimated Market Value,$3040/m,Single-Family,N/A,N/A,2935, 106%,https://www.foreclosure.com/address/Nw-104th-Ave-Coral-Springs-FL-33071/60565801_lid
"N Flagler Dr Apt 810, West Palm Beach, FL 33407","$597,741",Estimated Market Value,$2010/m,Condo,3,2,1480, 142%,https://www.foreclosure.com/address/N-Flagler-Dr-Apt-810-West-Palm-Beach-FL-33407/60565803_lid
"Darlin Cir, Orlando, FL 32820","$442,469",Estimated Market Value,$1530/m,Single-Family,4,2,2008, 103%,https://www.foreclosure.com/address/Darlin-Cir-Orlando-FL-32820/60565815_lid
"Wyndham Hollow Ct, Jacksonville, FL 32246","$411,147",Estimated Market Value,$1580/m,Single-Family,4,2,1738, 95%,https://www.foreclosure.com/address/Wyndham-Hollow-Ct-Jacksonville-FL-32246/60565817_lid
"Nw 101st Ave, Plantation, FL 33322","$797,817",Estimated Market Value,$3260/m,Single-Family,4,2,2829, 106%,https://www.foreclosure.com/address/Nw-101st-Ave-Plantation-FL-33322/60565820_lid
"Sixty Oaks Ln, Vero Beach, FL 32966","$276,556",Estimated Market Value,$1261/m,Single-Family,2,2,1131, 127%,https://www.foreclosure.com/address/Sixty-Oaks-Ln-Vero-Beach-FL-32966/60565831_lid
"Sw 4th St, Miami, FL 33135","$642,239",Estimated Market Value,$1930/m,Single-Family,3,2,1740, 118%,https://www.foreclosure.com/address/Sw-4th-St-Miami-FL-33135/60565844_lid
"Nw 13th Ct, Plantation, FL 33322","$831,138",Estimated Market Value,$3350/m,Single-Family,N/A,N/A,2969, 107%,https://www.foreclosure.com/address/Nw-13th-Ct-Plantation-FL-33322/60565866_lid
"Tisons Bluff Rd, Jacksonville, FL 32218","$506,757",Estimated Market Value,N/A,Single-Family,4,3,3171, 98%,https://www.foreclosure.com/address/Tisons-Bluff-Rd-Jacksonville-FL-32218/60565885_lid
"Eagle Point Dr, Delray Beach, FL 33446","$486,552",Estimated Market Value,$3020/m,Single-Family,3,3,2030, 104%,https://www.foreclosure.com/address/Eagle-Point-Dr-Delray-Beach-FL-33446/60565896_lid
"Gaspirilla Cir, Kissimmee, FL 34746",N/A,N/A,N/A,Single-Family,4,2,2064,N/A,https://www.foreclosure.com/address/Gaspirilla-Cir-Kissimmee-FL-34746/60565904_lid
"Woodley Creek Rd, Jacksonville, FL 32218","$313,207",Estimated Market Value,$1311/m,Single-Family,4,2,2236, 95%,https://www.foreclosure.com/address/Woodley-Creek-Rd-Jacksonville-FL-32218/60565909_lid
"Waterside Dr, Celebration, FL 34747","$1,021,701",Estimated Market Value,$2160/m,Single-Family,3,3,2858, 107%,https://www.foreclosure.com/address/Waterside-Dr-Celebration-FL-34747/60565916_lid
"Shiloh Brook St, Kindred, FL 34744","$560,069",Estimated Market Value,N/A,Single-Family,5,3,2674, 112%,https://www.foreclosure.com/address/Shiloh-Brook-St-Kindred-FL-34744/60565919_lid
"Margate Blvd, Margate, FL 33063","$295,655",Estimated Market Value,$1460/m,Single-Family,2,1,1112, 114%,https://www.foreclosure.com/address/Margate-Blvd-Margate-FL-33063/60565926_lid
"Cape Fox Dr, Jacksonville, FL 32222",N/A,N/A,N/A,Single-Family,3,2,2165,N/A,https://www.foreclosure.com/address/Cape-Fox-Dr-Jacksonville-FL-32222/60565972_lid
"Nw 12th St, Pembroke Pines, FL 33026","$554,582",Estimated Market Value,$2180/m,Single-Family,3,2,1496, 118%,https://www.foreclosure.com/address/Nw-12th-St-Pembroke-Pines-FL-33026/60565991_lid
"New Berlin Rd Unit 122, Jacksonville, FL 32226",N/A,N/A,N/A,N/A,N/A,3,1750,N/A,https://www.foreclosure.com/address/New-Berlin-Rd-Unit-122-Jacksonville-FL-32226/60566008_lid
"Libby Rd S, Jacksonville, FL 32211","$435,303",Estimated Market Value,$1490/m,Single-Family,3,3,2790, 120%,https://www.foreclosure.com/address/Libby-Rd-S-Jacksonville-FL-32211/60566009_lid
"Ventnor F, Deerfield Beach, FL 33442","$99,072",Estimated Market Value,$1092/m,Condo,1,1,585, 143%,https://www.foreclosure.com/address/Ventnor-F-Deerfield-Beach-FL-33442/60566037_lid
"Cypress Run Cir, Coral Springs, FL 33071","$480,788",Estimated Market Value,$2020/m,Single-Family,3,2,1428, 111%,https://www.foreclosure.com/address/Cypress-Run-Cir-Coral-Springs-FL-33071/60566039_lid
"Broyles Dr Se, Palm Bay, FL 32909","$572,614",Estimated Market Value,$1760/m,Single-Family,4,4,4313, 102%,https://www.foreclosure.com/address/Broyles-Dr-Se-Palm-Bay-FL-32909/60566073_lid
"Tiger Creek Ln, Jacksonville, FL 32225","$612,891",Estimated Market Value,$1970/m,Single-Family,4,3,2684, 121%,https://www.foreclosure.com/address/Tiger-Creek-Ln-Jacksonville-FL-32225/60566106_lid
"Cove Rd, Cutler Bay, FL 33189","$542,132",Estimated Market Value,$1650/m,Single-Family,3,2,1242, 110%,https://www.foreclosure.com/address/Cove-Rd-Cutler-Bay-FL-33189/60566119_lid
"Vista Lagoon Ct, Ponte Vedra, FL 32082",N/A,N/A,N/A,Single-Family,4,2,2201,N/A,https://www.foreclosure.com/address/Vista-Lagoon-Ct-Ponte-Vedra-FL-32082/60566129_lid
"Hawkeye Cir, Jacksonville, FL 32221","$384,318",Estimated Market Value,$1720/m,Single-Family,4,3,2468, 97%,https://www.foreclosure.com/address/Hawkeye-Cir-Jacksonville-FL-32221/60566128_lid
"Blue Leaf Ln, Jacksonville, FL 32244","$335,650",Estimated Market Value,$1380/m,Single-Family,3,2,2009, 96%,https://www.foreclosure.com/address/Blue-Leaf-Ln-Jacksonville-FL-32244/60566132_lid
"Fox Squirrel Dr, Kissimmee, FL 34741","$248,902",Estimated Market Value,$1072/m,Condo,2,2,1100, 132%,https://www.foreclosure.com/address/Fox-Squirrel-Dr-Kissimmee-FL-34741/60566143_lid
"Janice Ave, South Bay, FL 33493","$124,704",Estimated Market Value,$940/m,Single-Family,N/A,1,960, 100%,https://www.foreclosure.com/address/Janice-Ave-South-Bay-FL-33493/60566155_lid
"W Park Dr Apt 102, Miami, FL 33172",N/A,N/A,N/A,Condo,2,1,909,N/A,https://www.foreclosure.com/address/W-Park-Dr-Apt-102-Miami-FL-33172/60566165_lid
"Belle Rive Blvd Unit 1704, Jacksonville, FL 32256","$187,082",Estimated Market Value,$881/m,Condo,1,1,830, 107%,https://www.foreclosure.com/address/Belle-Rive-Blvd-Unit-1704-Jacksonville-FL-32256/60566167_lid
"Fawn Point Dr, Jacksonville, FL 32225",N/A,N/A,N/A,Single-Family,3,2,1850,N/A,https://www.foreclosure.com/address/Fawn-Point-Dr-Jacksonville-FL-32225/60566170_lid
"Haley Ln, Pensacola, FL 32534","$204,525",Estimated Market Value,$973/m,Single-Family,N/A,2,1193, 108%,https://www.foreclosure.com/address/Haley-Ln-Pensacola-FL-32534/60566179_lid
"Sw 4th Pl, Newberry, FL 32669",N/A,N/A,N/A,Land,N/A,N/A,0,N/A,https://www.foreclosure.com/address/Sw-4th-Pl-Newberry-FL-32669/60566206_lid
"N Nob Hill Rd Apt 111, Sunrise, FL 33351","$161,369",Estimated Market Value,$1160/m,Condo,2,2,1074, 117%,https://www.foreclosure.com/address/N-Nob-Hill-Rd-Apt-111-Sunrise-FL-33351/60566219_lid
"Belmont Ave, Cantonment, FL 32533","$88,224",Estimated Market Value,$650/m,Single-Family,N/A,1,896, 123%,https://www.foreclosure.com/address/Belmont-Ave-Cantonment-FL-32533/60566243_lid
"Pebble Brooke Cir S, Orange Park, FL 32065","$311,738",Estimated Market Value,$1390/m,Single-Family,3,2,1502, 98%,https://www.foreclosure.com/address/Pebble-Brooke-Cir-S-Orange-Park-FL-32065/60566273_lid
"Pond Pine Way, Greenacres, FL 33463",N/A,N/A,N/A,Single-Family,5,3,2788,N/A,https://www.foreclosure.com/address/Pond-Pine-Way-Greenacres-FL-33463/60566290_lid
"Hope St, Hollywood, FL 33024",N/A,N/A,N/A,Single-Family,3,2,1250,N/A,https://www.foreclosure.com/address/Hope-St-Hollywood-FL-33024/60566298_lid
"Talladega Rd, Jacksonville, FL 32209","$142,416",Estimated Market Value,$1110/m,Single-Family,3,2,1232, 129%,https://www.foreclosure.com/address/Talladega-Rd-Jacksonville-FL-32209/60566310_lid
"Nw 68th Ave, Sunrise, FL 33313","$291,648",Estimated Market Value,$1440/m,Single-Family,2,1,818, 111%,https://www.foreclosure.com/address/Nw-68th-Ave-Sunrise-FL-33313/60565072_lid
"Odessa St, Jacksonville, FL 32206","$112,480",Estimated Market Value,$991/m,Single-Family,3,2,1127, 93%,https://www.foreclosure.com/address/Odessa-St-Jacksonville-FL-32206/60565117_lid
"Nw 100th Dr, Tamarac, FL 33321","$337,292",Estimated Market Value,$1610/m,Townhome,2,2,1234, 108%,https://www.foreclosure.com/address/Nw-100th-Dr-Tamarac-FL-33321/60565112_lid
"Turning Leaf Dr, Orlando, FL 32828","$389,961",Estimated Market Value,$1390/m,Townhome,3,2,1724, 112%,https://www.foreclosure.com/address/Turning-Leaf-Dr-Orlando-FL-32828/60565212_lid
"Vermillion St, Jacksonville, FL 32208","$97,659",Estimated Market Value,$970/m,Single-Family,2,1,800, 112%,https://www.foreclosure.com/address/Vermillion-St-Jacksonville-FL-32208/60565187_lid
"Citrus Ln, Jacksonville, FL 32218","$287,042",Estimated Market Value,$1251/m,Single-Family,3,2,1615, 123%,https://www.foreclosure.com/address/Citrus-Ln-Jacksonville-FL-32218/60565285_lid
"Southover Dr Ne, Palm Bay, FL 32905","$199,919",Estimated Market Value,$970/m,Single-Family,3,2,1584, 122%,https://www.foreclosure.com/address/Southover-Dr-Ne-Palm-Bay-FL-32905/60565321_lid
"Lawrenceville Cir, Jacksonville, FL 32217","$283,318",Estimated Market Value,$1261/m,Single-Family,3,1,1412, 95%,https://www.foreclosure.com/address/Lawrenceville-Cir-Jacksonville-FL-32217/60565324_lid
"Dorset A, Boca Raton, FL 33434","$170,137",Estimated Market Value,$1082/m,Condo,2,1,840, 143%,https://www.foreclosure.com/address/Dorset-A-Boca-Raton-FL-33434/60565401_lid
"Morgana Rd, Jacksonville, FL 32211","$238,813",Estimated Market Value,$991/m,Single-Family,3,1,1296, 103%,https://www.foreclosure.com/address/Morgana-Rd-Jacksonville-FL-32211/60565416_lid
"Playschool Ln, Jacksonville, FL 32210","$235,125",Estimated Market Value,$1080/m,Townhome,3,2,1532, 113%,https://www.foreclosure.com/address/Playschool-Ln-Jacksonville-FL-32210/60565423_lid
"Sw 154th Ct, Miami, FL 33185","$671,219",Estimated Market Value,$2530/m,Single-Family,3,2,1789, 119%,https://www.foreclosure.com/address/Sw-154th-Ct-Miami-FL-33185/60565425_lid
"Marcia Pl, West Palm Beach, FL 33407","$309,224",Estimated Market Value,$1251/m,Single-Family,N/A,1,994, 115%,https://www.foreclosure.com/address/Marcia-Pl-West-Palm-Beach-FL-33407/60565466_lid
"Valverde Ln, Saint Augustine, FL 32086",N/A,N/A,N/A,Single-Family,4,3,3024,N/A,https://www.foreclosure.com/address/Valverde-Ln-Saint-Augustine-FL-32086/60565358_lid
"Grove Park Blvd, Jacksonville, FL 32216","$364,461",Estimated Market Value,$1378/m,Single-Family,4,2,1808, 107%,https://www.foreclosure.com/address/Grove-Park-Blvd-Jacksonville-FL-32216/60565505_lid
"Avenger Ln, Jacksonville, FL 32221","$395,953",Estimated Market Value,$1790/m,Single-Family,4,3,2573, 99%,https://www.foreclosure.com/address/Avenger-Ln-Jacksonville-FL-32221/60565533_lid
"Summerton Dr, Orlando, FL 32824","$311,639",Estimated Market Value,$1800/m,Townhome,4,2,1313, 111%,https://www.foreclosure.com/address/Summerton-Dr-Orlando-FL-32824/60565594_lid
"Aloha Bay Ct, Ocoee, FL 34761","$388,096",Estimated Market Value,$1530/m,Townhome,3,2,1683, 124%,https://www.foreclosure.com/address/Aloha-Bay-Ct-Ocoee-FL-34761/60565623_lid
"Andora St, Saint Augustine, FL 32086","$230,084",Estimated Market Value,$1072/m,Single-Family,N/A,N/A,902, 117%,https://www.foreclosure.com/address/Andora-St-Saint-Augustine-FL-32086/60565651_lid
"Fay Blvd, Cocoa, FL 32927","$232,559",Estimated Market Value,$1191/m,Single-Family,3,2,1756, 113%,https://www.foreclosure.com/address/Fay-Blvd-Cocoa-FL-32927/60565689_lid
"Holly Pine Cir, Orlando, FL 32820","$555,659",Estimated Market Value,$1790/m,Single-Family,3,3,2553, 116%,https://www.foreclosure.com/address/Holly-Pine-Cir-Orlando-FL-32820/60565695_lid
"Blackwater Ct, Jacksonville, FL 32223","$485,495",Estimated Market Value,$1680/m,Single-Family,4,3,2214, 103%,https://www.foreclosure.com/address/Blackwater-Ct-Jacksonville-FL-32223/60565701_lid
"Kempston Dr, Orlando, FL 32812","$385,866",Estimated Market Value,$1480/m,Single-Family,3,1,1638, 105%,https://www.foreclosure.com/address/Kempston-Dr-Orlando-FL-32812/60565774_lid
"Sw 247th St, Homestead, FL 33032","$619,441",Estimated Market Value,$2050/m,Townhome,5,3,2501, 133%,https://www.foreclosure.com/address/Sw-247th-St-Homestead-FL-33032/60565839_lid
"Plantation Bay Dr N, Jacksonville, FL 32244","$355,446",Estimated Market Value,$1640/m,Single-Family,4,2,1876, 98%,https://www.foreclosure.com/address/Plantation-Bay-Dr-N-Jacksonville-FL-32244/60565856_lid
"Nw 3rd Ter, Pompano Beach, FL 33064","$347,093",Estimated Market Value,$1700/m,Townhome,3,1,1400, 116%,https://www.foreclosure.com/address/Nw-3rd-Ter-Pompano-Beach-FL-33064/60565928_lid
"Sumter Ave, Davie, FL 33325","$662,211",Estimated Market Value,$2430/m,Single-Family,4,2,2442, 97%,https://www.foreclosure.com/address/Sumter-Ave-Davie-FL-33325/60565999_lid
"Columbia Dr Apt 101, Cape Canaveral, FL 32920","$204,915",Estimated Market Value,$1092/m,Condo,N/A,N/A,1200, 121%,https://www.foreclosure.com/address/Columbia-Dr-Apt-101-Cape-Canaveral-FL-32920/60566006_lid
"Sw 217th St, Miami, FL 33170","$516,234",Estimated Market Value,$1590/m,Single-Family,4,2,1319, 121%,https://www.foreclosure.com/address/Sw-217th-St-Miami-FL-33170/60566077_lid
"Nw 101st Ct, Doral, FL 33178","$614,888",Estimated Market Value,$2530/m,Townhome,3,2,1409, 139%,https://www.foreclosure.com/address/Nw-101st-Ct-Doral-FL-33178/60566138_lid
"Blount Ave, Jacksonville, FL 32210","$175,275",Estimated Market Value,$952/m,Single-Family,2,1,1002, 111%,https://www.foreclosure.com/address/Blount-Ave-Jacksonville-FL-32210/60566223_lid
"Ferguson Dr, Orlando, FL 32805","$298,856",Estimated Market Value,$1171/m,Single-Family,3,2,1232, 107%,https://www.foreclosure.com/address/Ferguson-Dr-Orlando-FL-32805/60566238_lid
"Guardian Dr, Jacksonville, FL 32221","$360,095",Estimated Market Value,$1660/m,Single-Family,4,2,2281, 98%,https://www.foreclosure.com/address/Guardian-Dr-Jacksonville-FL-32221/60566306_lid
"Guardian Ct, Jacksonville, FL 32221","$438,052",Estimated Market Value,$1790/m,Single-Family,4,3,2867, 98%,https://www.foreclosure.com/address/Guardian-Ct-Jacksonville-FL-32221/60565917_lid
"Ogalla Ave, Jacksonville, FL 32219","$268,128",Estimated Market Value,$1191/m,Single-Family,3,1,1125, 147%,https://www.foreclosure.com/address/Ogalla-Ave-Jacksonville-FL-32219/60564313_lid
"Oxfordshire Ave, Jacksonville, FL 32219","$352,498",Estimated Market Value,$1460/m,Single-Family,4,2,2802, 116%,https://www.foreclosure.com/address/Oxfordshire-Ave-Jacksonville-FL-32219/60565485_lid
"Round Key Cir, Naples, FL 34112",N/A,N/A,N/A,Condo,N/A,N/A,1422,N/A,https://www.foreclosure.com/address/Round-Key-Cir-Naples-FL-34112/60565798_lid
"Cumbria Blvd, Jacksonville, FL 32219","$302,446",Estimated Market Value,$1400/m,Single-Family,4,3,2700, 116%,https://www.foreclosure.com/address/Cumbria-Blvd-Jacksonville-FL-32219/60565258_lid
"Nw 23rd Ct, Miami, FL 33125","$572,504",Estimated Market Value,$2200/m,Multi-Family,6,4,N/A, 127%,https://www.foreclosure.com/address/Nw-23rd-Ct-Miami-FL-33125/60563683_lid
"W Flagler St Cu, Miami, FL 33135",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.foreclosure.com/address/W-Flagler-St-Cu-Miami-FL-33135/60563676_lid
"81st St, Miami Beach, FL 33141","$1,338,603",Estimated Market Value,$1490/m,Multi-Family,4,2,N/A, 285%,https://www.foreclosure.com/address/81st-St-Miami-Beach-FL-33141/60563686_lid
"Avenida Santa Ana, Boca Raton, FL 33498","$803,838",Estimated Market Value,$2910/m,Single-Family,N/A,3,2125, 104%,https://www.foreclosure.com/address/Avenida-Santa-Ana-Boca-Raton-FL-33498/60565001_lid
"Sw 7th St, Pompano Beach, FL 33060","$525,573",Estimated Market Value,$1880/m,N/A,N/A,N/A,N/A, 112%,https://www.foreclosure.com/address/Sw-7th-St-Pompano-Beach-FL-33060/60566481_lid
"Andora Dr, Hollywood, FL 33025",N/A,N/A,N/A,Single-Family,2,2,2443,N/A,https://www.foreclosure.com/address/Andora-Dr-Hollywood-FL-33025/60566480_lid
"Patterson Heights Dr, Haines City, FL 33844","$374,751",Estimated Market Value,$1380/m,N/A,N/A,N/A,N/A, 98%,https://www.foreclosure.com/address/Patterson-Heights-Dr-Haines-City-FL-33844/60566488_lid
"Dakeman Rd, Lakeland, FL 33813","$396,395",Estimated Market Value,$1560/m,Single-Family,N/A,2,2296, 95%,https://www.foreclosure.com/address/Dakeman-Rd-Lakeland-FL-33813/60566492_lid
"Nw 63rd St, Miami, FL 33147","$247,896",Estimated Market Value,$1271/m,Single-Family,2,1,760, 96%,https://www.foreclosure.com/address/Nw-63rd-St-Miami-FL-33147/60563685_lid
"Griffing Blvd, Biscayne Park, FL 33161","$769,760",Estimated Market Value,$2120/m,Single-Family,2,2,N/A, 112%,https://www.foreclosure.com/address/Griffing-Blvd-Biscayne-Park-FL-33161/60563684_lid
"Inlet Cir, Greenacres, FL 33463","$276,255",Estimated Market Value,$1220/m,Townhome,2,2,1166, 124%,https://www.foreclosure.com/address/Inlet-Cir-Greenacres-FL-33463/60559907_lid
"Oxford Pl Apt C, Boca Raton, FL 33433","$367,303",Estimated Market Value,$1800/m,Townhome,2,2,1302, 107%,https://www.foreclosure.com/address/Oxford-Pl-Apt-C-Boca-Raton-FL-33433/60559932_lid
"Sw 11th St, Pembroke Pines, FL 33025","$512,819",Estimated Market Value,$2000/m,Single-Family,3,2,1386, 109%,https://www.foreclosure.com/address/Sw-11th-St-Pembroke-Pines-FL-33025/60560061_lid
"Stonybrook Cir, Port Orange, FL 32127","$240,171",Estimated Market Value,$1092/m,Townhome,2,2,1118, 99%,https://www.foreclosure.com/address/Stonybrook-Cir-Port-Orange-FL-32127/60560090_lid
"Forest Preserve Blvd, Port Orange, FL 32128","$486,275",Estimated Market Value,$1790/m,Single-Family,4,2,2309, 119%,https://www.foreclosure.com/address/Forest-Preserve-Blvd-Port-Orange-FL-32128/60560264_lid
"Nw 78th Ave Apt 207, Margate, FL 33063","$140,237",Estimated Market Value,$1201/m,Condo,2,2,990, 136%,https://www.foreclosure.com/address/Nw-78th-Ave-Apt-207-Margate-FL-33063/60560266_lid
"Michaelmas Cir, Defuniak Springs, FL 32433","$139,776",Estimated Market Value,$1100/m,Single-Family,3,2,1062, 96%,https://www.foreclosure.com/address/Michaelmas-Cir-Defuniak-Springs-FL-32433/60560370_lid
"Ne 1st St, Boynton Beach, FL 33435","$538,804",Estimated Market Value,$1870/m,Single-Family,3,2,2097, 106%,https://www.foreclosure.com/address/Ne-1st-St-Boynton-Beach-FL-33435/60560382_lid
"Lake Dora Dr, West Palm Beach, FL 33411","$171,689",Estimated Market Value,$1160/m,Condo,2,2,888, 130%,https://www.foreclosure.com/address/Lake-Dora-Dr-West-Palm-Beach-FL-33411/60560409_lid
"Thames Blvd Apt D, Boca Raton, FL 33433","$396,409",Estimated Market Value,$1700/m,Townhome,3,3,1364, 104%,https://www.foreclosure.com/address/Thames-Blvd-Apt-D-Boca-Raton-FL-33433/60560510_lid
"Victoria Rd, West Palm Beach, FL 33411","$760,480",Estimated Market Value,$3500/m,Single-Family,6,4,3519, 107%,https://www.foreclosure.com/address/Victoria-Rd-West-Palm-Beach-FL-33411/60560713_lid
"Travelers Tree Dr, Boca Raton, FL 33433","$699,720",Estimated Market Value,$3880/m,Single-Family,3,3,2584, 113%,https://www.foreclosure.com/address/Travelers-Tree-Dr-Boca-Raton-FL-33433/60560787_lid
"Edgewood Rd, Defuniak Springs, FL 32435","$153,935",Estimated Market Value,N/A,Mobile,3,2,1620, 102%,https://www.foreclosure.com/address/Edgewood-Rd-Defuniak-Springs-FL-32435/60560801_lid
"Le Lac Rd, Boca Raton, FL 33496","$5,418,609",Estimated Market Value,$7120/m,Single-Family,5,6,8427, 98%,https://www.foreclosure.com/address/Le-Lac-Rd-Boca-Raton-FL-33496/60560941_lid
"N Lake Vista Cir, Davie, FL 33328","$1,865,527",Estimated Market Value,$4580/m,Single-Family,N/A,N/A,5001, 107%,https://www.foreclosure.com/address/N-Lake-Vista-Cir-Davie-FL-33328/60560992_lid
"Mirabella Cir N, Boca Raton, FL 33433","$654,885",Estimated Market Value,$4030/m,Single-Family,3,3,2722, 93%,https://www.foreclosure.com/address/Mirabella-Cir-N-Boca-Raton-FL-33433/60560994_lid
"Sedgefield Ave, Deltona, FL 32725","$304,288",Estimated Market Value,$1440/m,Single-Family,3,2,1272, 109%,https://www.foreclosure.com/address/Sedgefield-Ave-Deltona-FL-32725/60561146_lid
"Maple Dr, Debary, FL 32713","$102,085",Estimated Market Value,$970/m,Mobile,2,2,864, 103%,https://www.foreclosure.com/address/Maple-Dr-Debary-FL-32713/60561304_lid
"Alexandra Cir, Wellington, FL 33414","$890,702",Estimated Market Value,$3680/m,Single-Family,6,4,3662, 105%,https://www.foreclosure.com/address/Alexandra-Cir-Wellington-FL-33414/60561331_lid
"Sunrise Lakes Dr E Apt..., Sunrise, FL 33322","$143,559",Estimated Market Value,$1181/m,Condo,2,2,850, 155%,https://www.foreclosure.com/address/Sunrise-Lakes-Dr-E-Apt-312-Sunrise-FL-33322/60561449_lid
"E 2nd St, Chuluota, FL 32766","$370,260",Estimated Market Value,$1380/m,Single-Family,2,1,1110, 128%,https://www.foreclosure.com/address/E-2nd-St-Chuluota-FL-32766/60561465_lid
"Flame Vine Ave Apt 101, Delray Beach, FL 33445","$228,192",Estimated Market Value,$1251/m,Condo,2,2,1167, 127%,https://www.foreclosure.com/address/Flame-Vine-Ave-Apt-101-Delray-Beach-FL-33445/60561488_lid
"S Cedar Ave, Orange City, FL 32763","$357,014",Estimated Market Value,$1388/m,Single-Family,3,2,1530, 93%,https://www.foreclosure.com/address/S-Cedar-Ave-Orange-City-FL-32763/60561609_lid
"Sw 29th St # 104, Miramar, FL 33025","$325,555",Estimated Market Value,$1540/m,Condo,2,2,1037, 121%,https://www.foreclosure.com/address/Sw-29th-St--104-Miramar-FL-33025/60561624_lid
"Edgewater Cir, Sanford, FL 32773","$326,535",Estimated Market Value,$1251/m,Single-Family,3,2,1311, 104%,https://www.foreclosure.com/address/Edgewater-Cir-Sanford-FL-32773/60561751_lid
"Ponce De Leon Blvd, Delray Beach, FL 33445",N/A,N/A,N/A,Condo,2,2,1050,N/A,https://www.foreclosure.com/address/Ponce-De-Leon-Blvd-Delray-Beach-FL-33445/60561759_lid
"45th Ave S, Boynton Beach, FL 33436","$269,108",Estimated Market Value,$1400/m,Condo,2,2,1238, 118%,https://www.foreclosure.com/address/45th-Ave-S-Boynton-Beach-FL-33436/60561763_lid
"Taylor St Apt 1, Hollywood, FL 33021",N/A,N/A,N/A,Multi-Family,2,2,1112,N/A,https://www.foreclosure.com/address/Taylor-St-Apt-1-Hollywood-FL-33021/60561804_lid
"Fern Palm Dr, Edgewater, FL 32141","$309,624",Estimated Market Value,$1281/m,Single-Family,3,2,1274, 101%,https://www.foreclosure.com/address/Fern-Palm-Dr-Edgewater-FL-32141/60561806_lid
"Pine Ridge Ave, Lantana, FL 33462","$633,301",Estimated Market Value,$2310/m,Multi-Family,N/A,4,2250, 125%,https://www.foreclosure.com/address/Pine-Ridge-Ave-Lantana-FL-33462/60561810_lid
"Strawberry Lakes Cir, Lake Worth, FL 33463","$312,741",Estimated Market Value,$1440/m,Single-Family,3,2,1085, 98%,https://www.foreclosure.com/address/Strawberry-Lakes-Cir-Lake-Worth-FL-33463/60561829_lid
"Nw 71st St, Tamarac, FL 33321","$327,221",Estimated Market Value,$1430/m,Single-Family,2,2,1342, 108%,https://www.foreclosure.com/address/Nw-71st-St-Tamarac-FL-33321/60560089_lid
"1st St, Oviedo, FL 32765","$153,163",Estimated Market Value,$860/m,Single-Family,1,1,836, 108%,https://www.foreclosure.com/address/1st-St-Oviedo-FL-32765/60560605_lid
"14th St, West Palm Beach, FL 33401","$505,190",Estimated Market Value,$1690/m,Single-Family,N/A,2,2010, 109%,https://www.foreclosure.com/address/14th-St-West-Palm-Beach-FL-33401/60560767_lid
"Gardenia Ct, Riviera Beach, FL 33404","$262,752",Estimated Market Value,$1080/m,Townhome,2,2,1227, 125%,https://www.foreclosure.com/address/Gardenia-Ct-Riviera-Beach-FL-33404/60561316_lid
"Poolside Dr, Greenacres, FL 33463","$265,585",Estimated Market Value,$1201/m,Townhome,2,2,1222, 121%,https://www.foreclosure.com/address/Poolside-Dr-Greenacres-FL-33463/60561346_lid
"Nw 27th Ct, Plantation, FL 33323","$764,082",Estimated Market Value,$3290/m,Single-Family,N/A,N/A,2205, 105%,https://www.foreclosure.com/address/Nw-27th-Ct-Plantation-FL-33323/60561351_lid
